Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2/7/2017,BRITANNIA,EQ,3285,3290,3290,3210,3229.85,3230.6,3241.76,113826,3.68997E+13,13997,55736,0.4897
2/8/2017,BRITANNIA,EQ,3230.6,3230.85,3266.2,3192.05,3235,3233,3228.61,129082,4.16756E+13,11774,69741,0.5403
2/9/2017,BRITANNIA,EQ,3233,3228.3,3254.65,3205.3,3230.3,3225.95,3222.48,112759,3.63364E+13,11706,70463,0.6249
2/10/2017,BRITANNIA,EQ,3225.95,3231,3270,3223.25,3235,3239.35,3247.08,211103,6.85467E+13,9825,169120,0.8011
2/13/2017,BRITANNIA,EQ,3239.35,3245,3296,3222.1,3282,3271.7,3264.84,201954,6.59347E+13,13535,51439,0.2547
2/14/2017,BRITANNIA,EQ,3271.7,3280,3280,3210.2,3229,3224.45,3232.31,188420,6.09031E+13,9121,114247,0.6063
2/15/2017,BRITANNIA,EQ,3224.45,3233,3243,3171,3195.05,3194.35,3202.18,136342,4.36592E+13,10594,79211,0.581
2/16/2017,BRITANNIA,EQ,3194.35,3190,3238.4,3182.75,3229,3230.75,3219.39,79944,2.57371E+13,6406,42582,0.5326
2/17/2017,BRITANNIA,EQ,3230.75,3239.1,3254.8,3205.55,3250,3247.75,3243.7,157429,5.10652E+13,9938,98658,0.6267
2/20/2017,BRITANNIA,EQ,3247.75,3262,3267.25,3236.05,3250,3256.9,3248.36,57135,1.85595E+13,7897,26701,0.4673
2/21/2017,BRITANNIA,EQ,3256.9,3266.7,3275.5,3215.2,3238.2,3239.05,3242,98066,3.1793E+13,10569,34499,0.3518
2/22/2017,BRITANNIA,EQ,3239.05,3242,3264,3226.85,3243,3238.7,3245.83,115265,3.7413E+13,15634,68746,0.5964
2/23/2017,BRITANNIA,EQ,3238.7,3242.05,3278.95,3213.55,3240.05,3227,3251.61,210424,6.84217E+13,22562,131638,0.6256
2/27/2017,BRITANNIA,EQ,3227,3231,3268.9,3218.85,3255,3259.1,3250.69,130537,4.24335E+13,15899,90235,0.6913
2/28/2017,BRITANNIA,EQ,3259.1,3255.1,3259,3212.3,3230,3229.4,3229.12,95954,3.09847E+13,17300,59294,0.6179
3/1/2017,BRITANNIA,EQ,3229.4,3232,3259.95,3175,3177.4,3181,3202.37,101905,3.26338E+13,13300,58297,0.5721
3/2/2017,BRITANNIA,EQ,3181,3200,3217.5,3102.7,3120,3114.15,3161.28,190960,6.03679E+13,15737,110198,0.5771
3/3/2017,BRITANNIA,EQ,3114.15,3123,3145.7,3066.45,3091.9,3096.75,3092.51,233042,7.20685E+13,16738,144624,0.6206
3/6/2017,BRITANNIA,EQ,3096.75,3112,3116.45,3059.4,3084.8,3086,3084.66,159500,4.92003E+13,21656,97270,0.6098
3/7/2017,BRITANNIA,EQ,3086,3105,3105,3055.2,3065,3059.15,3067.57,183626,5.63285E+13,11183,155564,0.8472
3/8/2017,BRITANNIA,EQ,3059.15,3065,3108,3045.3,3080,3085.4,3074.47,263476,8.1005E+13,12702,221801,0.8418
3/9/2017,BRITANNIA,EQ,3085.4,3086,3099.9,3063,3080,3078.6,3076.97,112214,3.45279E+13,12345,74446,0.6634
3/10/2017,BRITANNIA,EQ,3078.6,3085.1,3131,3077,3121,3122.5,3108.84,137490,4.27434E+13,13653,77895,0.5666
3/14/2017,BRITANNIA,EQ,3122.5,3153.8,3190.55,3136.45,3178,3176.75,3167.33,133633,4.2326E+13,16550,71987,0.5387
3/15/2017,BRITANNIA,EQ,3176.75,3180.05,3200,3135.5,3190,3190.25,3177.42,112104,3.56202E+13,12735,59267,0.5287
3/16/2017,BRITANNIA,EQ,3190.25,3197,3238.2,3196.35,3220,3225.05,3225.46,112687,3.63467E+13,7629,76783,0.6814
3/17/2017,BRITANNIA,EQ,3225.05,3225,3254.9,3215,3245,3247.55,3243.67,88403,2.8675E+13,9378,56498,0.6391
3/20/2017,BRITANNIA,EQ,3247.55,3252.4,3264.35,3240,3250,3251.75,3251.46,55472,1.80365E+13,7658,27489,0.4955
3/21/2017,BRITANNIA,EQ,3251.75,3240,3321,3240,3290,3294.35,3285.05,396452,1.30237E+14,20004,331304,0.8357
3/22/2017,BRITANNIA,EQ,3294.35,3262,3345.75,3262,3325,3325.75,3304.86,220078,7.27328E+13,10095,172822,0.7853
3/23/2017,BRITANNIA,EQ,3325.75,3327,3354.35,3279.9,3288,3295.75,3304.26,94164,3.11143E+13,7298,41624,0.442
3/24/2017,BRITANNIA,EQ,3295.75,3299.15,3321,3283.05,3300,3298.15,3301.98,70642,2.33259E+13,10142,46297,0.6554
3/27/2017,BRITANNIA,EQ,3298.15,3300,3330,3292.15,3305.7,3304.1,3309.76,77175,2.55431E+13,9414,46516,0.6027
3/28/2017,BRITANNIA,EQ,3304.1,3309.7,3366.85,3304.4,3345,3339.55,3341.61,100546,3.35986E+13,10134,48788,0.4852
3/29/2017,BRITANNIA,EQ,3339.55,3343.3,3415.5,3326.9,3382,3391.4,3369.5,152285,5.13124E+13,15817,102292,0.6717
3/30/2017,BRITANNIA,EQ,3391.4,3382,3422.5,3380.6,3386,3395.15,3396.99,979257,3.32653E+14,25241,882583,0.9013
3/31/2017,BRITANNIA,EQ,3395.15,3380,3432.95,3331.05,3360,3374,3386.67,198473,6.72163E+13,13794,141374,0.7123
4/3/2017,BRITANNIA,EQ,3374,3377,3422.1,3272.8,3398.8,3391.7,3391.66,94308,3.1986E+13,12003,41301,0.4379
4/5/2017,BRITANNIA,EQ,3391.7,3397,3401.55,3350,3375,3375.9,3377.72,195676,6.60939E+13,13647,151430,0.7739
4/6/2017,BRITANNIA,EQ,3375.9,3375.9,3394.45,3347.45,3356.15,3357.15,3367.68,113256,3.8141E+13,22434,82664,0.7299
4/7/2017,BRITANNIA,EQ,3357.15,3350,3377.3,3340,3355.1,3357.45,3364.12,51704,1.73938E+13,6635,29578,0.5721
4/10/2017,BRITANNIA,EQ,3357.45,3355,3425,3350,3416.9,3416.85,3393.21,68269,2.31651E+13,8034,34419,0.5042
